Source,Destination,Flow_Path,Total_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
UURWMEA120,DK_LTKNYDPT_PA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(B01T, N/A)-->  UJEWLED030  --(7DCX, N/A)-->  DK_LTKNYDPT_PA",0.5,0.0,1:DmPzrDpwxNNfblMXMmQpRkqJUg0=,5,True
DD_FTBELVOR_VA,UURWMEA120,"DD_FTBELVOR_VA  --(7RR6, N/A)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.3381394106054785,0.0,1:tpES0jw2wZwJ+xj3TSWMkGRof60=,5,True
DD_FTBELVOR_VA,UURWMEA120,"DD_FTBELVOR_VA  --(7PE6, N/A)-->  UJEWBEL040  --(BXG0, 0.500ms)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.8381394106054785,0.5,1:oYeE1dFfr/JyD7AUakU7RKPBVTk=,5,True
UURWMEA120,DK_PENTAGON_DC,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(73L2, N/A)-->  DK_PENTAGON_DC",1.02,0.0,1:EpuN39e+Qy64sVm8zGqVhjs6snc=,5,True
UURWMEA120,DK_PATCHBK_DE,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --33.1252ms-->] -> UJPEPTM010  --(MVU1, 0.290ms)-->  UJEEPTM030  --(M8C1, 0.500ms)-->  UJEEPTM040  --(M7U4, N/A)-->  DK_PATCHBK_DE",34.41519568987164,0.5,1:9CB2u0nnUi4GDsVVn+6t0YQcLSg=,5,True
UURWMEA120,DK_SNANTISC_TX,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --9.3126ms-->] -> UJPWTIN010  --(BVG1, 5.145ms)-->  UJEWSNA040  --(7HKX, N/A)-->  DK_SNANTISC_TX",17.457595644342263,0.0,1:kC8UuFb4vkggmSYP2WLch/TTn0Y=,5,True
UURWMEA120,DK_SNANTISC_TX,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --9.3126ms-->] -> UJPWTIN010  --(BVG1, 5.145ms)-->  UJEWSNA040  --(2S91, 0.500ms)-->  UJEWSNA030  --(73RX, N/A)-->  DK_SNANTISC_TX",17.957595644342263,0.5,1:PGsAdPZ2fgVFGyDxoIYFK9xdeww=,5,True
DK_MCDLLAFB_FL,UURWMEA120,"DK_MCDLLAFB_FL  --(7W72, N/A)-->  UJEWMAC030  --(BQ75, 0.500ms)-->  UJEWMAC040  --(B9Q2, N/A)-->  UJEWJKV040  --(B4Z0, 0.500ms)-->  UJEWJKV030  --(BC9Z, 6.500ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",10.98039481782457,0.5,1:eMx63wliIAWdvqiamlV+bRlsaOI=,5,True
UURWMEA120,DK_FTHUACHC_AZ,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --11.7812ms-->] -> UJPWBCK010  --(247W, 1.915ms)-->  UJEWCAR030  --(BVJ0, 0.500ms)-->  UJEWCAR040  --(BC8P, 9.500ms)-->  UJEWHUA040  --(73F0, N/A)-->  DK_FTHUACHC_AZ",26.696191339326308,0.0,1:tmRU6sux8Wj4QZ6CksV7ruswr84=,5,True
DK_PATCHBK_DE,UURWMEA120,"DK_PATCHBK_DE  --(MAU4, N/A)-->  UJEEPTM030  --(MVU1, 0.500ms)-->  UJPEPTM010 -> [UJP_MESH --33.1252ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",34.355195689871636,0.0,1:OMub4I3/4f7jI9/MJw9221REBho=,5,True
UURWMEA120,DK_HILLAFB_UT,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --11.7812ms-->] -> UJPWBCK010  --(BBBS, N/A)-->  UJEWHIL140  --(7HSX, N/A)-->  DK_HILLAFB_UT",14.781191339326307,0.0,1:X1gtVumuyrjBF/Q15tt3iEmABZA=,5,False
DK_NSAMCNCS_PA,UURWMEA120,"DK_NSAMCNCS_PA  --(7JHX, N/A)-->  UJEWMEC040  --(BR20, 0.500ms)-->  UJEWMEC030  --(BGF0, 0.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",3.885,0.5,1:CLdnCaoZS5L50ckSlkoSP1vttNY=,5,True
DK_NSAMCNCS_PA,UURWMEA120,"DK_NSAMCNCS_PA  --(75GX, N/A)-->  UJEWMEC030  --(BGF0, 0.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",3.385,0.0,1:d9/IIYysAqy5RZSQF1MSBCuZHL0=,5,True
DK_PENTAGON_DC,UURWMEA120,"DK_PENTAGON_DC  --(73L2, N/A)-->  UJEWPNT030  --(BN94, 0.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.23,0.0,1:FjTpN/1q8LT9lUOikq0K2flk24I=,5,True
DK_PATCHBK_DE,UURWMEA120,"DK_PATCHBK_DE  --(M7U4, N/A)-->  UJEEPTM040  --(M8C1, 0.500ms)-->  UJEEPTM030  --(MVU1, 0.500ms)-->  UJPEPTM010 -> [UJP_MESH --33.1252ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",34.855195689871636,0.5,1:JmomdByA/qk04lXTQ0swOE2/RPo=,5,True
UURWMEA120,DK_CLAYKSRN_DE,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --32.5681ms-->] -> UJPEWBM010  --(M24B, 0.285ms)-->  UJEEWBM030  --(7WBX, N/A)-->  DK_CLAYKSRN_DE",33.35314056371217,0.0,1:Ps8I4irgmXokb2QNjrfPxA34k3c=,5,False
DK_PENTAGON_DC,UURWMEA120,"DK_PENTAGON_DC  --(7TA3, N/A)-->  UJEWPNT040  --(BFD4, 0.500ms)-->  UJEWPNT030  --(BN94, 0.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.73,0.5,1:IzNt/Y9YeIzZGDQ6LFxM5ELcP6A=,5,True
UURWMEA120,DK_ANNAPOLS_MD,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(7XPT, N/A)-->  DK_ANNAPOLS_MD",0.5,0.0,1:hG58jh7fy274wgHtg4Ba+VaiMMs=,5,False
UURWMEA120,DD_FTBELVOR_VA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --0.1081ms-->] -> UJPWBEL010  --(BDR0, 0.345ms)-->  UJEWBEL030  --(BXG0, 0.500ms)-->  UJEWBEL040  --(7PE6, N/A)-->  DD_FTBELVOR_VA",1.4531394106054787,0.5000000000000001,1:oYeE1dFfr/JyD7AUakU7RKPBVTk=,5,True
UURWMEA120,DD_FTBELVOR_VA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --0.1081ms-->] -> UJPWBEL010  --(BDR0, 0.345ms)-->  UJEWBEL030  --(7RR6, N/A)-->  DD_FTBELVOR_VA",0.9531394106054786,0.0,1:o51BYQD7tY9RhEzeoIgMHKjqV3k=,5,True
DK_SNANTISC_TX,UURWMEA120,"DK_SNANTISC_TX  --(73RX, N/A)-->  UJEWSNA030  --(2S91, 0.500ms)-->  UJEWSNA040  --(BVG1, 4.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",17.197595644342265,0.5,1:/k7aigx7XOmGineQd1x5iNMiA/g=,5,True
DK_SNANTISC_TX,UURWMEA120,"DK_SNANTISC_TX  --(7HKX, N/A)-->  UJEWSNA040  --(BVG1, 4.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",16.697595644342265,0.0,1:q/qYMKydsxJ+nws23IVZv4FAoEA=,5,True
DK_SUGARGRV_WV,UURWMEA120,"DK_SUGARGRV_WV  --(74LU, N/A)-->  UJEWCHT030  --(BPQ1, 1.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",2.23,0.0,1:hUeo55q+i5x99owTiC8qgfDEQu8=,5,False
DK_SCHQMIAM_FL,UURWMEA120,"DK_SCHQMIAM_FL  --(7VG0, N/A)-->  UJEWSCD040  --(BCBM, 3.500ms)-->  UJEWJKV040  --(B4Z0, 0.500ms)-->  UJEWJKV030  --(BC9Z, 6.500ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",13.98039481782457,0.0,1:RYrjHvc0JmY2LojJHDTB5DRi5BI=,5,True
DK_TINRAFB_OK,UURWMEA120,"DK_TINRAFB_OK  --(74JX, N/A)-->  UJEWTIN030  --(BE0C, 0.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",12.697595644342265,0.0,1:jbJdd4J9Q/9/rygtRfi8ZQnL5AM=,5,True
UURWMEA120,DK_MCDLLAFB_FL,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(B4Z0, 0.500ms)-->  UJEWJKV040  --(B9Q2, N/A)-->  UJEWMAC040  --(BQ75, 0.500ms)-->  UJEWMAC030  --(7W72, N/A)-->  DK_MCDLLAFB_FL",10.625394817824569,0.5,1:eMx63wliIAWdvqiamlV+bRlsaOI=,4,True
UURWMEA120,DK_LTKNYDPT_PA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(B01T, N/A)-->  UJEWLED030  --(BE34, 0.500ms)-->  UJEWLED040  --(7NGX, N/A)-->  DK_LTKNYDPT_PA",1.0,0.5,1:R3MsV34x8NlRWN+17Ss8RrtIGX8=,4,True
UURWMEA120,DK_SCHQMIAM_FL,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(B4Z0, 0.500ms)-->  UJEWJKV040  --(BCBM, 3.500ms)-->  UJEWSCD040  --(7VG0, N/A)-->  DK_SCHQMIAM_FL",13.625394817824569,0.0,1:2o5OBn585J/HDnCWr5GC3DX6vUQ=,4,True
DK_CLAYKSRN_DE,UURWMEA120,"DK_CLAYKSRN_DE  --(7WBX, N/A)-->  UJEEWBM030  --(M24B, 0.500ms)-->  UJPEWBM010 -> [UJP_MESH --32.5681ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",33.79814056371217,0.0,1:u4Ae+daejOZueC3xj+dawLNxeuc=,4,False
UURWMEA120,DK_PENTAGON_DC,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7TA3, N/A)-->  DK_PENTAGON_DC",1.52,0.5,1:IzNt/Y9YeIzZGDQ6LFxM5ELcP6A=,4,True
UURWMEA120,DK_MCDLLAFB_FL,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(B4Z0, 0.500ms)-->  UJEWJKV040  --(B9Q2, N/A)-->  UJEWMAC040  --(75D2, N/A)-->  DK_MCDLLAFB_FL",10.125394817824569,0.0,1:Qdm2AubeF6+G45l/wTtXOz53Efk=,4,True
UURWMEA110,OKCIAPREM1,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --9.3126ms-->] -> UJPWTIN010  --(BE0C, 0.350ms)-->  UJEWTIN030  --(7GG1, N/A)-->  OKCIAPREM1",12.162595644342264,0.0,1:TGQBzK1us3hObX/UF1uwOfHNW2s=,4,False
UURWMEA110,DR_FTBELVOR_VA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --0.1081ms-->] -> UJPWBEL010  --(BDR0, 0.345ms)-->  UJEWBEL030  --(7ET7, N/A)-->  DR_FTBELVOR_VA",1.4531394106054785,0.0,1:TFYvWK0sZiLYUcm40E99S+/4pNM=,4,False
UURWMEA120,DK_COLUMBUS_OH,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010  --(BDY2, 4.975ms)-->  UJEWCOL030  --(7FR1, N/A)-->  DK_COLUMBUS_OH",7.975,0.0,1:d7TpNfrncDM7GME45rmDwfeGT8k=,4,True
UURWMEA120,DK_FTHUACHC_AZ,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --11.7812ms-->] -> UJPWBCK010  --(247W, 1.915ms)-->  UJEWCAR030  --(BVJ0, 0.500ms)-->  UJEWCAR040  --(BC8P, 9.500ms)-->  UJEWHUA040  --(BHW2, 0.500ms)-->  UJEWHUA030  --(7880, N/A)-->  DK_FTHUACHC_AZ",27.196191339326308,0.5,1:TckeUpdSuLwu+AYn81ui4KhYiDE=,4,True
UURWMEA120,DK_PATCHBK_DE,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --33.1252ms-->] -> UJPEPTM010  --(MVU1, 0.290ms)-->  UJEEPTM030  --(MAU4, N/A)-->  DK_PATCHBK_DE",33.91519568987164,0.0,1:OMub4I3/4f7jI9/MJw9221REBho=,4,True
