Flow_ID,Source_IP,Dest_IP,Source,Destination,Flow_Path,Total_Latency_ms
1:a/VuWdrXik/oU+qfwxrmB6pF3So=,20.35.195.98,214.36.112.226,DK_ASHBURN_VA,UURWMEA110,"DK_ASHBURN_VA  --(7ERM, N/A)-->  UJEWPNT040  --(BFD4, 0.500ms)-->  UJEWPNT030  --(BN94, 0.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",2.23
1:QkAfZ2U986l/ByZXZfgp+7dbB2s=,131.68.41.34,214.36.199.3,DK_LARGO_FL,UURWMEA120,"DK_LARGO_FL  --(7028, N/A)-->  UJEWJKV030  --(BC9Z, 6.500ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",9.98039481782457
1:jbJdd4J9Q/9/rygtRfi8ZQnL5AM=,159.77.56.2,214.36.199.3,DK_TINRAFB_OK,UURWMEA120,"DK_TINRAFB_OK  --(74JX, N/A)-->  UJEWTIN030  --(BE0C, 0.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",12.697595644342265
1:Sy4aQv0uPhrUUrZN+XEBN7lowjk=,131.68.59.34,214.36.199.2,DK_RDSNASNL_AL,UURWMEA110,"DK_RDSNASNL_AL  --(7V25, N/A)-->  UJEWRED040  --(BCD9, N/A)-->  UJEWWPA040  --(B8N0, 0.500ms)-->  UJEWWPA030  --(B9N0, 0.500ms)-->  UJPWWPA010 -> [UJP_MESH --3.0009ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",6.3859279477884545
1:QRQd8PBrz9W4HpViaCrgcu/m2Xk=,131.66.28.34,214.36.199.2,DK_HUNTSVLL_AL,UURWMEA110,"DK_HUNTSVLL_AL  --(7A75, N/A)-->  UJEWGOR040  --(BP0C, 0.500ms)-->  UJEWGOR030  --(BS75, 4.000ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",8.48039481782457
1:BmabY5637lS9mc9Ok+A/l23Y70U=,214.36.199.2,164.117.11.35,UURWMEA110,DK_SUGARGRV_WV,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BPQ1, 1.655ms)-->  UJEWCHT030  --(74LU, N/A)-->  DK_SUGARGRV_WV",2.6550000000000002
1:TckeUpdSuLwu+AYn81ui4KhYiDE=,214.36.199.3,209.22.105.2,UURWMEA120,DK_FTHUACHC_AZ,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --11.7812ms-->] -> UJPWBCK010  --(247W, 1.915ms)-->  UJEWCAR030  --(BVJ0, 0.500ms)-->  UJEWCAR040  --(BC8P, 9.500ms)-->  UJEWHUA040  --(BHW2, 0.500ms)-->  UJEWHUA030  --(7880, N/A)-->  DK_FTHUACHC_AZ",27.196191339326308
1:5/4XNWKQVXIThrKTt3hzgkS+o1M=,214.36.199.2,140.13.97.4,UURWMEA110,DK_ASHBURN_VA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7ERM, N/A)-->  DK_ASHBURN_VA",2.02
1:879KdBSSj7u9MondlxFgZ5zIRNI=,214.36.199.2,160.137.16.2,UURWMEA110,DK_SNANTISC_TX,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --9.3126ms-->] -> UJPWTIN010  --(BVG1, 5.145ms)-->  UJEWSNA040  --(2S91, 0.500ms)-->  UJEWSNA030  --(73RX, N/A)-->  DK_SNANTISC_TX",17.457595644342263
1:jCBcrUXWeaiIN4wiTzhMCKf27qM=,160.137.16.2,214.36.199.2,DK_SNANTISC_TX,UURWMEA110,"DK_SNANTISC_TX  --(73RX, N/A)-->  UJEWSNA030  --(2S91, 0.500ms)-->  UJEWSNA040  --(BVG1, 4.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",16.697595644342265
1:7GyFIVJt0mcTuBM7iwykcLZmv+I=,214.36.199.3,140.13.97.4,UURWMEA120,DK_ASHBURN_VA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7ERM, N/A)-->  DK_ASHBURN_VA",1.52
1:peZk0uWuEPcsCRuhJNZxjFfPcpU=,131.66.106.34,214.36.198.20,DK_DCMAVRGN_VT,UURWMEA120,"DK_DCMAVRGN_VT  --(7UM2, N/A)-->  UJEWMEC030  --(BGF0, 0.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",3.385
1:rKv4dGNlCsYXBs/2FbZhep63Lqk=,159.77.3.3,214.36.199.2,DK_RAFAKRTR_CY,UURWMEA110,"DK_RAFAKRTR_CY  --(BAN8, N/A)-->  UJEEAKI040  --(MQD3, 22.000ms)-->  UJEEDTM040  --(M6H3, 0.500ms)-->  UJEEDTM030  --(M24A,MRB4,MTB4, 0.500ms)-->  UJPEDTM010 -> [UJP_MESH --37.0339ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",61.26393798413539
1:/jFk1CZMf+A1pWrZjiYczhDIF6g=,131.67.187.34,214.36.199.2,DK_STRLNGGHT_MI,UURWMEA110,"DK_STRLNGGHT_MI  --(72C4, N/A)-->  UJEWWPA040  --(B8N0, 0.500ms)-->  UJEWWPA030  --(B9N0, 0.500ms)-->  UJPWWPA010 -> [UJP_MESH --3.0009ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",6.3859279477884545
1:ANey5epTKDk96RUgQqxOmM/3rbg=,131.66.220.34,214.36.199.2,DK_EAURORA_NY,UURWMEA110,"DK_EAURORA_NY  --(7FQ3, N/A)-->  UJEWMEC030  --(BGF0, 0.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",2.885
1:Rbm31gmYCmtqKsVxFeUSlwG8+x0=,214.36.199.3,131.66.178.34,UURWMEA120,DK_WNDSRLKS_CT,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BJV4, 2.000ms)-->  UJEWPHI030  --(7AW2, N/A)-->  DK_WNDSRLKS_CT",2.5
1:4foMzRtO36MYfr0bGj6af8dbw+4=,214.36.199.2,131.68.64.34,UURWMEA110,DK_ATLANTA_GA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BS75, 4.500ms)-->  UJEWGOR030  --(BP0C, 0.500ms)-->  UJEWGOR040  --(7EX4, N/A)-->  DK_ATLANTA_GA",8.625394817824569
1:3GiQjoeleuIfb4PZDhjAzL5uBn0=,214.36.199.3,131.66.111.34,UURWMEA120,DK_CAMBRIDG_MA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010  --(BGF0, 0.340ms)-->  UJEWMEC030  --(7RW2, N/A)-->  DK_CAMBRIDG_MA",3.34
1:yKNfdCvN3h4uKnuOCj9Eni8Muag=,131.67.255.34,214.36.198.20,DK_GRRAPIDS_MI,UURWMEA120,"DK_GRRAPIDS_MI  --(7WM3, N/A)-->  UJEWWPA040  --(B8N0, 0.500ms)-->  UJEWWPA030  --(B9N0, 0.500ms)-->  UJPWWPA010 -> [UJP_MESH --3.0009ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",6.8859279477884545
1:qH6HKrJCD4ViAqcyleeYN4wEw/0=,214.48.69.23,214.36.72.86,UURWMEA440,UURWMEA110,"UURWMEA440  --(7AL5, N/A)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",0.0
1:EpuN39e+Qy64sVm8zGqVhjs6snc=,214.36.198.20,134.254.223.3,UURWMEA120,DK_PENTAGON_DC,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(73L2, N/A)-->  DK_PENTAGON_DC",1.02
1:IBSy9ulwT6YfMFDIwTcQea+V3a4=,209.22.117.3,214.36.198.20,DK_LTKNYDPT_PA,UURWMEA120,"DK_LTKNYDPT_PA  --(7NGX, N/A)-->  UJEWLED040  --(BE34, 0.500ms)-->  UJEWLED030  --(B01T, 4.500ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",5.5
1:6SCW4LaVO2nFkTM7BOLZ6SxXGNc=,214.36.199.2,131.68.110.34,UURWMEA110,DK_ORLANDO_FL,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(7KW4, N/A)-->  DK_ORLANDO_FL",10.125394817824569
1:Wpekq3ju4drz5ptaQxDn6c1XuRo=,131.67.181.34,214.36.199.2,DK_SANANTON_TX,UURWMEA110,"DK_SANANTON_TX  --(7P05, N/A)-->  UJEWSNA040  --(BVG1, 4.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",16.197595644342265
1:YPy+obW+VCP+GF5qzOtxA0xU3+k=,131.66.189.34,214.36.199.3,DK_CAMDEN_NJ,UURWMEA120,"DK_CAMDEN_NJ  --(78W2, N/A)-->  UJEWPHI030  --(BJV4, 2.000ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",2.5
1:xFs5/Duk3+OxjxeBlcQ6ZKn93G0=,131.68.153.34,214.36.198.20,DK_CAMDEN_AR,UURWMEA120,"DK_CAMDEN_AR  --(7VC5, N/A)-->  UJEWSNA040  --(BVG1, 4.500ms)-->  UJPWTIN010 -> [UJP_MESH --9.3126ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",16.697595644342265
1:4C1tmjI1Fj1OdCkpqqsceL7x2NE=,214.36.199.2,131.66.150.34,UURWMEA110,DK_GREENSBR_NC,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BS75, 4.500ms)-->  UJEWGOR030  --(BP0C, 0.500ms)-->  UJEWGOR040  --(7G42, N/A)-->  DK_GREENSBR_NC",8.625394817824569
1:krfEHLLMd61IR1HmezAOJnhi10w=,214.36.199.2,131.68.126.34,UURWMEA110,DK_CLEVELND_OH,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --3.0009ms-->] -> UJPWWPA010  --(B9N0, 0.335ms)-->  UJEWWPA030  --(B8N0, 0.500ms)-->  UJEWWPA040  --(B01Q, 2.000ms)-->  UJEWKNO040  --(BRH4, 0.500ms)-->  UJEWKNO030  --(7LK4, N/A)-->  DK_CLEVELND_OH",8.835927947788456
1:f3wLOBo15UB1o6n5hx6wx/ClG8c=,214.36.199.2,131.84.126.2,UURWMEA110,DD_FTBELVOR_VA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --0.1081ms-->] -> UJPWBEL010  --(BDR0, 0.345ms)-->  UJEWBEL030  --(7RR6, N/A)-->  DD_FTBELVOR_VA",1.4531394106054785
1:OUNXVkvD8sy03uuLWWQezLv5/xE=,131.67.191.34,214.36.198.20,DK_INDINPLS_IN,UURWMEA120,"DK_INDINPLS_IN  --(7M24, N/A)-->  UJEWWPA040  --(B8N0, 0.500ms)-->  UJEWWPA030  --(B9N0, 0.500ms)-->  UJPWWPA010 -> [UJP_MESH --3.0009ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",6.8859279477884545
1:C9fK5wIxVyUVoLx2JJ8WgEl5Yi0=,214.36.198.20,131.67.165.34,UURWMEA120,DA_FTKNOX_KY,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --3.0009ms-->] -> UJPWWPA010  --(B9N0, 0.335ms)-->  UJEWWPA030  --(B8N0, 0.500ms)-->  UJEWWPA040  --(B01Q, 2.000ms)-->  UJEWKNO040  --(BRH4, 0.500ms)-->  UJEWKNO030  --(7VH3, N/A)-->  DA_FTKNOX_KY",9.335927947788456
1:pM0giVUUlTtMh5qMrkCHtPnZU/8=,159.77.3.2,214.36.199.3,DK_RAFAKRTR_CY,UURWMEA120,"DK_RAFAKRTR_CY  --(BAW7, N/A)-->  UJEEAKI030  --(MD54, 0.500ms)-->  UJEEAKI040  --(MQD3, 22.000ms)-->  UJEEDTM040  --(M6H3, 0.500ms)-->  UJEEDTM030  --(M24A,MRB4,MTB4, 0.500ms)-->  UJPEDTM010 -> [UJP_MESH --37.0339ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",61.26393798413539
1:l0e0nBrZiTbOep52tuQ8doJQ+nU=,131.68.124.34,214.36.199.3,DK_INDINPLS_IN,UURWMEA120,"DK_INDINPLS_IN  --(7D35, N/A)-->  UJEWIND030  --(B9M2, N/A)-->  UJEWWPA030  --(B9N0, 0.500ms)-->  UJPWWPA010 -> [UJP_MESH --3.0009ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",6.3859279477884545
1:rrVxfuX3jzHfOQJU972vfJwvsLE=,214.36.199.2,134.254.223.2,UURWMEA110,DK_PENTAGON_DC,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7TA3, N/A)-->  DK_PENTAGON_DC",2.02
1:Ru1SHQzNJ3Y+lPxdmFnnkzBm7tw=,214.36.199.2,131.66.59.34,UURWMEA110,DK_PHILDLPH_PA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(BJV4, 2.000ms)-->  UJEWPHI030  --(7XC3, N/A)-->  DK_PHILDLPH_PA",2.0
1:IzNt/Y9YeIzZGDQ6LFxM5ELcP6A=,214.36.199.3,134.254.223.2,UURWMEA120,DK_PENTAGON_DC,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7TA3, N/A)-->  DK_PENTAGON_DC",1.52
1:x+vxHNew026LJOh/np7qnXNHj08=,214.36.199.3,131.67.167.34,UURWMEA120,DK_LIMA_OH,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --3.0009ms-->] -> UJPWWPA010  --(B9N0, 0.335ms)-->  UJEWWPA030  --(B8N0, 0.500ms)-->  UJEWWPA040  --(B01Q, 2.000ms)-->  UJEWKNO040  --(BRH4, 0.500ms)-->  UJEWKNO030  --(7SH3, N/A)-->  DK_LIMA_OH",9.335927947788456
1:3aEEP9SR6+33CTAqRZI/Oo4/QYE=,131.68.111.34,214.36.199.3,DK_DECATUR_AL,UURWMEA120,"DK_DECATUR_AL  --(7NE5, N/A)-->  UJEWGOR040  --(BP0C, 0.500ms)-->  UJEWGOR030  --(BS75, 4.000ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",7.980394817824569
1:52rUzJuWkjL6HZOt88oOZ0gm128=,214.36.199.3,131.67.235.34,UURWMEA120,DK_ARLINGTN_TX,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --9.3126ms-->] -> UJPWTIN010  --(BVG1, 5.145ms)-->  UJEWSNA040  --(7HF4, N/A)-->  DK_ARLINGTN_TX",17.457595644342263
1:RPVPjbNARHr/dmORDtIrDDaS6VE=,214.36.199.3,214.25.28.227,UURWMEA120,DR_FTBELVOR_VA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --0.1081ms-->] -> UJPWBEL010  --(BDR0, 0.345ms)-->  UJEWBEL030  --(7ET7, N/A)-->  DR_FTBELVOR_VA",0.9531394106054786
1:eMx63wliIAWdvqiamlV+bRlsaOI=,214.36.199.3,209.22.80.162,UURWMEA120,DK_MCDLLAFB_FL,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(B4Z0, 0.500ms)-->  UJEWJKV040  --(B9Q2, N/A)-->  UJEWMAC040  --(BQ75, 0.500ms)-->  UJEWMAC030  --(7W72, N/A)-->  DK_MCDLLAFB_FL",10.625394817824569
1:A7lD4faK9KiI4KdDX1POzm7vFk0=,214.36.199.3,131.66.123.34,UURWMEA120,DK_DCMAPWNW_ME,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BJV4, 2.000ms)-->  UJEWPHI030  --(7N03, N/A)-->  DK_DCMAPWNW_ME",2.5
1:rop4GmWjOAoEevXBgihaoEpcGJ0=,214.36.199.2,131.67.89.34,UURWMEA110,DK_KTLNDAFB_NM,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --11.7812ms-->] -> UJPWBCK010  --(247W, 1.915ms)-->  UJEWCAR030  --(BVJ0, 0.500ms)-->  UJEWCAR040  --(BWS4, 3.500ms)-->  UJEWKIR030  --(7QF3, N/A)-->  DK_KTLNDAFB_NM",20.196191339326308
1:9CB2u0nnUi4GDsVVn+6t0YQcLSg=,214.36.198.20,159.77.150.35,UURWMEA120,DK_PATCHBK_DE,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --33.1252ms-->] -> UJPEPTM010  --(MVU1, 0.290ms)-->  UJEEPTM030  --(M8C1, 0.500ms)-->  UJEEPTM040  --(M7U4, N/A)-->  DK_PATCHBK_DE",34.41519568987164
1:uXtKfM/+zO1CH/uVthncZp588HQ=,131.66.0.130,214.36.199.3,DK_FTGRGADM_VA,UURWMEA120,"DK_FTGRGADM_VA  --(74Y2, N/A)-->  UJEWLEE030  --(BC8U, 1.500ms)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",2.8381394106054785
1:z/fvTrQseAaeM+nupcWjK5uOlh8=,214.36.72.70,40.66.31.2,UURWMEA110,DK_ASHBURN_VA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7ERM, N/A)-->  DK_ASHBURN_VA",2.02
1:96vR4/IYDvf7VuovNPjeVt/U0/Y=,131.68.230.34,214.36.199.3,DK_SMYRNA_GA,UURWMEA120,"DK_SMYRNA_GA  --(7WY4, N/A)-->  UJEWGOR040  --(BP0C, 0.500ms)-->  UJEWGOR030  --(BS75, 4.000ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",7.980394817824569
